Country,Year,total,life,social,physical,health,ai_primario,ai_qualquer,ai_todos
Switzerland,2020,55773,8621,9137,18339,19624,590,1437,3936
Switzerland,2021,58165,8888,10010,18715,20527,633,1624,4256
Ukraine,2008,6656,672,377,5194,402,57,125,197
Ukraine,2009,7221,781,565,5356,476,48,118,209
Ukraine,2010,7527,801,615,5483,600,65,172,270
Ukraine,2011,7964,868,631,5825,620,84,174,295
Ukraine,2012,9750,935,995,6931,869,95,216,344
Ukraine,2013,12611,1450,1755,7841,1532,101,224,387
Ukraine,2014,14491,1695,2059,8765,1929,129,321,424
Ukraine,2015,15557,1802,2436,8939,2277,120,269,451
Ukraine,2016,18732,2471,3271,9688,3275,142,326,592
Ukraine,2017,23058,2827,5577,10956,3674,157,384,716
Ukraine,2018,30296,3397,8667,13209,4982,202,467,905
Ukraine,2019,40954,4419,14188,16233,6055,227,588,1159
Ukraine,2020,46963,4972,17417,17799,6761,288,715,1297
Ukraine,2021,48401,4888,17394,19186,6860,302,728,1293
United Kingdom,2008,148144,24732,33204,40905,48854,1457,3327,7462
United Kingdom,2009,154857,25368,35126,42315,51627,1484,3413,7803
United Kingdom,2010,160876,26766,36629,44322,52822,1608,3651,7983
United Kingdom,2011,169043,26249,39483,46700,56318,1613,3711,8134
United Kingdom,2012,176303,27282,41334,48675,58780,1778,4029,8317
United Kingdom,2013,183590,27853,42477,50745,62292,1825,4244,9112
United Kingdom,2014,189774,28789,42324,55073,63409,1784,4242,9395
United Kingdom,2015,197222,29330,44893,57908,64896,1712,4334,9402
United Kingdom,2016,202957,29561,46678,61079,65445,1717,4316,9740
United Kingdom,2017,207641,30040,48502,62478,66435,1880,4702,10135
United Kingdom,2018,212623,29970,50623,64905,66939,1953,4826,11162
United Kingdom,2019,218323,30656,50566,67595,69368,2302,5396,13049
United Kingdom,2020,241560,32356,54714,74297,80058,2596,6266,16530
United Kingdom,2021,246843,32682,56690,73954,83385,2957,6941,18546
United States,2008,541626,105018,102824,155241,176458,4412,10959,24536
United States,2009,553732,105001,107626,159393,179898,4338,11063,25254
United States,2010,578883,110733,113955,165408,187357,5022,12081,25521
United States,2011,598917,109084,120788,173179,194398,5015,12387,27680
United States,2012,618567,113193,122644,179616,202073,5185,12804,27614
United States,2013,650553,116592,126002,188225,218486,5461,13588,29155
United States,2014,679318,119691,131272,201308,226071,5390,13900,29692
United States,2015,696629,120981,136142,203147,235578,5323,14035,30670
United States,2016,703060,119909,136380,203259,242699,5028,13359,30738
United States,2017,714872,122029,137884,205271,248967,5332,13912,33483
United States,2018,729653,120803,142862,212635,252712,6509,16169,39586
United States,2019,761230,125338,150878,217927,266482,6789,17185,49443
United States,2020,819572,130105,158039,230181,300698,7954,19514,56448
United States,2021,803143,125771,164290,221504,290993,8689,21159,59402
