Country,Year,manuf_pib,ind_pib,manuf_exp,hitech_exp_wdi,pesq_pm,rd_pct_wdi,deflator,artigos_se_nsf
Argentina,2013,15.0110542553443,24.0058814423072,31.6131741589715,7.45820744914312,1193.37333,0.61849,464.780047776689,7700.03
Argentina,2014,14.7727785491821,24.2773944936602,31.2620642375565,7.06113490427245,1202.47388,0.59396,652.007262571679,8058.27
Argentina,2015,14.1815854549835,23.153056135905,28.1591258919034,9.22572828013488,1225.50983,0.62262,825.310738210731,8098.51
Argentina,2016,13.4880259708051,22.0541072112108,25.6479861222021,8.9823994804111,1254.06674,0.55815,1164.67339673925,8320.39
Argentina,2017,12.8351683415363,21.782123219335,27.6743405207163,9.20544177021613,1206.01905,0.55632,1467.56277769074,8535.98
Argentina,2018,14.0601434041581,23.7195923321304,19.4577177222696,5.40298410146417,1220.93622,0.4883,2084.4332574088,9044.42
Argentina,2019,13.5408390702829,23.1578477391434,16.55456541936,5.21279058881723,1224.69939,0.47813,3109.88226850322,9080.32
Argentina,2020,14.5905295089183,22.4088763711802,14.4214496007227,6.90388925607922,1250.48347,0.54126,4356.4191087013,9992.12
Argentina,2021,15.558416982668,23.4994644263761,13.5315510577839,4.42289139264312,1288.13477,0.5236,6700.26354104376,9943.87
Australia,2013,6.47475769538219,25.1836151421438,11.7663621499698,18.0075143774834,,2.17733,74.4080251953808,50403.4
Australia,2014,6.23700054223419,25.5698594984676,11.952126036613,18.9961304703814,,,75.4624096602889,52133.71
Australia,2015,6.16187153809786,23.6861098353126,13.7678544559038,19.6921472541598,,1.91969,74.9889525144353,53536.9
Australia,2016,5.93628731808457,22.3130168026382,13.7533180150723,20.6275044745549,,,74.4839637881886,54562.89
Australia,2017,5.6370711506194,23.4479311698975,11.7510093112444,18.0967924595604,,1.88102,77.199823087594,54671.54
Australia,2018,5.58025754369151,24.1083351497002,11.2645395870643,18.1371018191307,,,78.6250673484219,55784.76
Australia,2019,5.45170917330074,25.2555129054284,11.0489482828225,21.2199332352628,,1.82826,81.3585466868567,57313.1
Australia,2020,5.50480994024151,25.402839408227,10.5328054291376,21.4757898705835,,,82.876562212235,57901.21
Australia,2021,5.43021286709902,25.4357795203592,8.23857453952919,22.3940766008599,,1.85783,85.4131401626059,60308.46
Austria,2013,17.1063898788247,25.9697730865151,81.36669068678,15.3690648693427,4782.1241,2.97993,87.9501551699023,12202.11
Austria,2014,17.1867790689422,25.7857017006482,82.3462314374592,15.4904490132481,5009.44199,3.11263,89.7150897479378,12373.89
Austria,2015,17.242928730216,25.5152402246539,82.8092530807844,15.0327319949068,5073.42857,3.06917,91.7719290280246,12946.63
Austria,2016,17.6682251530651,25.9124691845374,82.8823194941048,14.4532591877111,5400.34772,3.13356,93.4373608656494,12789.07
Austria,2017,17.4427051605451,25.8023213025638,82.5985651230471,12.8851997037889,5416.07999,3.07376,94.3486721777502,12859.58
Austria,2018,17.3211161045372,25.7190926354333,80.893697747112,11.6500759838374,5682.44087,3.10828,96.0568359813149,12801.87
Austria,2019,17.1022858668807,25.5363771006496,81.0688257362778,11.4825348767666,5958.85643,3.14405,97.4724111917686,13266.8
Austria,2020,16.5973264696294,25.6544867826211,80.3885320645888,12.2718957660446,5829.2859,3.20758,100,13440.62
Austria,2021,16.9794494072387,25.7253456572227,79.3417677743618,11.017122140568,6323.00331,3.25565,101.801872992703,14370.95
Belgium,2013,12.6643780300003,19.9151935690442,67.9808698539433,10.6406117548271,4161.62059,2.32047,89.6575658680975,16396.54
Belgium,2014,12.5837894914118,19.6190570732838,70.234490113326,11.9393517315379,4544.86674,2.35858,90.4110442322977,16668.98
Belgium,2015,12.5677314710087,19.4767746872729,72.1493355868913,12.3351739681226,4731.81573,2.43496,91.4253101520778,16490.59
Belgium,2016,12.2484083375363,19.0981057822176,75.157256858039,13.3312451633933,4798.32663,2.53291,93.158084122665,16559.77
Belgium,2017,12.4458285747277,19.1545604130921,74.048307921478,11.4917903557909,4757.30821,2.67654,95.0055611847091,16085.55
Belgium,2018,12.343919956787,18.9641251486969,74.4053917671898,11.7058640594516,5040.00069,2.86365,96.6370749338723,16199.65
Belgium,2019,12.413251241175,19.2417105698694,75.021877681678,14.1440138847213,5290.87935,3.15154,98.428958972066,16216.59
Belgium,2020,12.0120090332978,19.0811705163268,76.1890929152875,15.2618615789713,5418.91258,3.36823,100,16602.95
Belgium,2021,10.744807994195,17.9965228539946,73.7274348151203,21.3799638763737,5770.89032,3.40589,102.69731875411,17845.94
Brazil,2013,10.4796122911618,21.2248099514406,32.5715331907528,11.9698618012495,852.71699,1.19567,125.696998117803,45991.35
Brazil,2014,10.3370973963623,20.4724627471447,32.1790576689769,12.3711688680768,903.20079,1.26971,135.560076726606,48188.5
Brazil,2015,10.5209374571105,19.3600439818506,34.8651659700771,14.4858996246715,,1.28464,145.816789370943,49341.87
Brazil,2016,10.7864511144495,18.3547582766688,36.1209000742178,16.0001642772964,,1.19584,157.633205095614,51744.75
Brazil,2017,10.7214980093214,18.188502309123,34.8248260736675,14.3118892236086,,1.1175,163.420526158681,55049.31
Brazil,2018,10.5284573770078,18.7490514528298,32.3576397610223,14.7442418256611,,1.15016,170.763883601096,58874.05
Brazil,2019,10.3325005328998,18.754627572495,30.1943927380285,14.0668052120423,,1.15115,177.977392089648,62581.11
Brazil,2020,10.692931568332,19.5061183894885,25.0396470697203,11.3500942678804,,1.21907,189.496978121955,66901.34
Brazil,2021,11.9043730112478,22.1234751955181,25.1214886663242,9.00155420026002,,1.13371,214.221162129305,69590.64
Bulgaria,2013,,23.507482622906,48.023936899104,8.29440219336705,1685.20345,0.63424,77.2894629993585,2639.63
