Year,n,efic_contemp_pct,efic_global_pct,tgr_medio,tgr_geometrico,tgr_uniao,gap_sequencial,tgr_n_igualado
2013,22,40.909,13.636,0.762,0.726,0.84,1,0.705
2014,23,39.13,8.696,0.627,0.593,0.705,0.801,0.557
2015,23,43.478,0,0.611,0.588,0.717,0.866,0.568
2016,26,34.615,3.846,0.706,0.679,0.826,0.86,0.631
2017,26,30.769,3.846,0.584,0.564,0.679,0.728,0.513
2018,30,36.667,13.333,0.696,0.672,0.785,0.807,0.622
2019,24,20.833,8.333,0.736,0.711,0.835,0.796,0.656
2020,18,33.333,22.222,0.772,0.742,0.837,0.788,0.749
2021,16,50,12.5,0.692,0.649,0.753,0.692,0.692
