Year,n,efic_contemp_pct,efic_global_pct,tgr_medio,tgr_geometrico,tgr_uniao,gap_sequencial,tgr_n_igualado
2013,22,27.273,9.091,0.631,0.455,0.704,1,0.532
2014,23,17.391,4.348,0.36,0.252,0.407,0.841,0.288
2015,23,21.739,0,0.29,0.226,0.339,0.796,0.241
2016,26,19.231,0,0.266,0.247,0.343,0.716,0.218
2017,26,19.231,0,0.347,0.329,0.421,0.819,0.27
2018,30,16.667,6.667,0.518,0.495,0.611,0.876,0.386
2019,24,8.333,0,0.608,0.581,0.746,0.785,0.5
2020,18,11.111,5.556,0.833,0.82,0.946,0.887,0.748
2021,16,18.75,6.25,0.682,0.56,0.734,0.682,0.682
