Country,Year,Country_Year,zero_inv,inv_const_mi,rd_mi,pubs,pat,manuf_pib,bcc_S,bcc_T,bcc_C,pares_C,bcc_ST,super_CRS,tgr
Japan,2019,Japan-2019,FALSE,1679.4102,146891.0948,8312,4237.7748,20.0537,0.3359,0.3635,0.4596,China-2020; Ukraine-2014,0.3707,0.3119,0.7497
Japan,2020,Japan-2020,FALSE,2130.0436,143018.7457,8713,4260.5268,19.7836,0.3417,0.2926,0.4405,China-2020; Ukraine-2014,0.3465,0.2697,0.992
Japan,2021,Japan-2021,FALSE,1254.1418,147883.6531,9556,2964.0559,19.6764,0.4009,0.3328,0.3503,China-2013; China-2020; Ukraine-2014,0.4067,0.2712,0.6065
Luxembourg,2016,Luxembourg-2016,TRUE,0,798.9332,119,1.9949,5.795,0.1793,0.0954,1,Luxembourg-2016,0.22,0.2175,1
Luxembourg,2017,Luxembourg-2017,FALSE,1.0758,791.6179,136,2.9991,4.7759,0.1832,0.1041,0.1295,China-2020; Ukraine-2014,0.2311,0.2294,0.1295
Luxembourg,2018,Luxembourg-2018,FALSE,8.2129,757.8238,148,8.9977,4.9592,0.1771,0.1347,0.2454,China-2020; Ukraine-2014,0.2236,0.2235,0.2454
Luxembourg,2019,Luxembourg-2019,FALSE,5.9518,787.2887,170,9.9973,5.0428,0.1959,0.1759,0.1797,China-2020; China-2021; Peru-2018; Ukraine-2014,0.2673,0.2655,0.1797
Luxembourg,2020,Luxembourg-2020,FALSE,408.9916,719.8654,208,12.9963,4.9261,0.26,0.1268,0.1605,China-2021; Peru-2018; Ukraine-2014,0.3221,0.3214,0.1605
Luxembourg,2021,Luxembourg-2021,FALSE,271.1419,736.5878,248,37.9874,4.6452,0.3038,0.3578,0.3578,China-2021; Peru-2018,0.4907,0.4892,0.3578
Mexico,2013,Mexico-2013,FALSE,1.1944,4898.5132,743,31.9999,18.1028,0.4384,0.7837,0.7837,Australia-2013; China-2013; Ukraine-2014,0.873,0.5049,0.7837
Mexico,2014,Mexico-2014,FALSE,2.3105,5142.5035,776,21,18.2289,0.4402,0.3911,0.3911,Australia-2013; China-2013; Ukraine-2014,0.516,0.2764,0.633
Mexico,2015,Mexico-2015,FALSE,9.146,5210.2313,845,46.9998,19.8234,0.412,0.4266,0.4475,China-2013; China-2020; Mexico-2018; Ukraine-2014,0.5351,0.3376,0.4475
Mexico,2016,Mexico-2016,FALSE,11.1838,4788.3076,893,64,19.8688,0.4335,0.5278,0.5452,China-2013; China-2020; Mexico-2018; Ukraine-2014,0.6152,0.4227,0.5452
Mexico,2017,Mexico-2017,FALSE,27.9705,4129.9701,899,69.9999,20.1618,0.3969,0.3103,0.3129,China-2013; China-2020; Mexico-2018; Ukraine-2014,0.49370000000000003,0.346,0.435
Mexico,2018,Mexico-2018,FALSE,7.1863,3930.639,1076,91.0001,20.1894,0.6062,1,1,Mexico-2018,1,0.7317,1
Mexico,2019,Mexico-2019,FALSE,136.8923,3627.8444,1274,104.9998,19.8878,0.43,0.1534,0.1534,China-2020; China-2021; Peru-2018,0.5105,0.4169,0.6541
Mexico,2020,Mexico-2020,FALSE,38.6753,3513.1712,1438,103.9996,20.1843,0.646,0.3592,0.3592,China-2020; Mexico-2018; Ukraine-2014,0.7495,0.4952,0.8654
Mexico,2021,Mexico-2021,FALSE,185.4717,3507.1309,1619,8,20.8358,0.5483,0.0112,0.0112,China-2021; Peru-2018,0.5508,0.4159,0.9865
Netherlands,2013,Netherlands-2013,FALSE,10.7497,16118.2516,1491,1.9808,9.6482,0.4802,0.012,0.0137,China-2013; China-2020; Ukraine-2014,0.4802,0.1089,0.8143
Netherlands,2014,Netherlands-2014,FALSE,28.8807,16509.1477,1547,0.9903,9.6623,0.3979,0.0034,0.0038,China-2013; China-2020; Ukraine-2014,0.3979,0.0988,0.3606
Netherlands,2015,Netherlands-2015,FALSE,300.6748,16647.9316,1604,4.951,10.1488,0.1779,0.0024,0.003,China-2020; Ukraine-2014,0.1779,0.0864,0.1388
Netherlands,2016,Netherlands-2016,FALSE,675.5008,17089.2609,1779,5.9392,10.2669,0.1521,0.0017,0.0032,China-2020; Ukraine-2014,0.1521,0.0934,0.2655
Netherlands,2017,Netherlands-2017,FALSE,585.2285,17791.314,1810,4.9468,10.55,0.1625,0.0015,0.0026,China-2020; Ukraine-2014,0.1625,0.0912,0.4144
Peru,2018,Peru-2018,TRUE,0,266.7298,146,3,13.169,1,1,1,Peru-2018,1,0.7233,1
Peru,2019,Peru-2019,FALSE,0.992,337.4922,193,3,12.8494,0.5153,0.267,0.267,China-2020; Peru-2018; Ukraine-2014,0.6247,0.5471,0.267
Peru,2020,Peru-2020,FALSE,2.9006,329.0699,268,12,12.2526,0.7311,0.7449,0.7449,China-2020; China-2021; Peru-2018,1,0.8704,0.7449
Peru,2021,Peru-2021,FALSE,0.8832,302.0738,337,1,12.0617,1,0.1104,0.1104,China-2020; Peru-2018; Ukraine-2014,1,1.0187,0.1104
Slovenia,2018,Slovenia-2018,TRUE,0,940.0684,244,4.0085,20.4062,0.3129,0.1917,0.1917,Ukraine-2014,0.3882,0.3882,0.1917
Switzerland,2015,Switzerland-2015,FALSE,926.0327,21367.1734,1349,2.9994,17.8568,0.0983,7e-4,0.0022,China-2020; Ukraine-2014,0.0983,0.0566,0.1536
Ukraine,2013,Ukraine-2013,TRUE,0,822.426,138,11.0001,11.1406,0.202,0.526,0.526,Ukraine-2014,0.5653,0.5653,0.526
Ukraine,2014,Ukraine-2014,TRUE,0,656.1346,134,20.9132,12.2281,0.2453,1,1,Ukraine-2014,1,1.8136,1
Ukraine,2015,Ukraine-2015,TRUE,0,559.6311,199,11.3913,11.9028,0.4262,0.6915,0.6915,Peru-2018; Ukraine-2014,0.8786,0.8517,0.6915
Ukraine,2016,Ukraine-2016,TRUE,0,450.7758,274,3.7926,12.2191,0.726,0.3308,0.3308,Peru-2018; Ukraine-2014,0.8564,0.7885,0.3308
Ukraine,2017,Ukraine-2017,TRUE,0,428.387,359,1.8946,11.9803,1,0.1815,0.1815,Peru-2018; Ukraine-2014,1,0.9391,0.1815
Ukraine,2018,Ukraine-2018,FALSE,1.0266,465.3989,506,3.7858,11.534,1,0.2189,0.2189,China-2020; Peru-2018; Ukraine-2014,1,1.109,0.5356
United Kingdom,2013,United Kingdom-2013,FALSE,224.5501,44967.2881,4940,79.6755,9.5981,0.4583,0.0466,0.0481,China-2013; China-2020; Ukraine-2014,0.4583,0.1049,0.2444
United Kingdom,2014,United Kingdom-2014,FALSE,946.1325,64860.712,5393,69.7155,9.4408,0.3175,0.0107,0.0117,China-2020; Ukraine-2014,0.3175,0.077,0.0942
United Kingdom,2021,United Kingdom-2021,FALSE,5749.6219,89621.8781,14384,421.9559,8.7328,0.5511,0.0215,0.0263,China-2020; Ukraine-2014,0.5511,0.1585,0.9704
