modelo,DMU,original,rDEA_theta_bc,boot_bc,ic_inf,ic_sup,vies_phi
S,India-2017,0.7325,0.3784,0.556,0.4983,0.629,-0.4334
S,India-2018,0.8423,0.3954,0.6297,0.5656,0.7021,-0.4008
S,India-2019,1,0.4285,0.7381,0.6636,0.8393,-0.3547
S,India-2020,1,0.1177,0.6889,0.6231,0.8461,-0.4516
S,Indonesia-2013,0.542,0.2968,0.415,0.3823,0.4599,-0.5643
S,Indonesia-2016,0.8383,0.5364,0.6649,0.6145,0.7154,-0.3111
S,Ireland-2016,0.1606,0.1083,0.1292,0.1203,0.1383,-1.5112
S,Ireland-2018,0.1919,0.1315,0.1551,0.1455,0.1644,-1.2367
S,Israel-2013,0.094,0.0614,0.075,0.0691,0.0812,-2.6955
S,Israel-2014,0.1103,0.0717,0.0878,0.081,0.0944,-2.3154
S,Israel-2015,0.084,0.0518,0.0661,0.0593,0.0727,-3.228
S,Israel-2016,0.085,0.0506,0.0663,0.0592,0.073,-3.3127
S,Israel-2017,0.0891,0.0503,0.0687,0.0613,0.0761,-3.3237
S,Israel-2018,0.0926,0.0475,0.0702,0.0629,0.0791,-3.44
S,Israel-2019,0.1167,0.0572,0.0879,0.0788,0.1004,-2.8087
S,Israel-2020,0.1365,0.0719,0.104,0.0932,0.117,-2.2877
S,Israel-2021,0.1416,0.0752,0.1081,0.0967,0.1197,-2.1931
S,Italy-2013,0.7695,0.3864,0.5817,0.5223,0.6582,-0.4197
S,Italy-2014,0.729,0.4233,0.566,0.5105,0.6231,-0.3952
S,Japan-2013,0.5915,0.1607,0.4244,0.3669,0.5037,-0.6653
S,Japan-2014,0.356,0.0123,0.2454,0.2106,0.3037,-1.2655
S,Japan-2015,0.2821,0.0399,0.1974,0.1712,0.2416,-1.5218
S,Japan-2016,0.2671,0.1461,0.2053,0.182,0.2296,-1.1276
S,Japan-2017,0.2843,0.1313,0.2127,0.1887,0.2427,-1.1827
