DMU,alpha_90,alpha_95,alpha_99,alpha_100,orderm_25,orderm_50,orderm_100
United Kingdom-2014,0.5818,0.859,1.2334,2.4916,1.9859,2.911,3.4412
United Kingdom-2021,0.289,0.358,0.7369,1,0.5467,0.8509,0.9625
United States-2013,0.3395,0.5951,1.5304,2.9347,0.4836,0.696,0.839
United States-2014,0.3651,0.8084,2.1789,3.2036,0.3338,0.5105,0.7325
United States-2015,0.3744,0.8859,1.9986,2.9474,0.5121,0.7265,0.919
United States-2016,0.3894,0.9251,2.4043,3.6286,0.5167,0.6808,0.8701
United States-2017,0.3531,0.8638,2.0869,3.1569,0.5303,0.6676,0.9458
United States-2018,0.3057,0.7804,1.6642,2.5292,0.4038,0.482,0.644
United States-2019,0.2511,0.6364,1.3143,2.0022,0.2315,0.3916,0.5814
United States-2020,0.2134,0.5411,1.124,1.7022,0.4372,0.5708,0.9968
United States-2021,0.2547,0.5307,1.0372,1.5659,0.317,0.5368,0.7281
