modelo,Country_Year,Country,Year,zero_inv,esc_contemp,esc_seq,esc_uniao,esc_global,tgr,tgr_uniao,convexificacao
ST,United Kingdom-2013,United Kingdom,2013,FALSE,0.5661,0.5661,0.5661,0.4583,0.8095,1,1.2353
ST,United Kingdom-2014,United Kingdom,2014,FALSE,0.5668,0.4807,0.3967,0.3175,0.5601,0.6999,1.2497
ST,United Kingdom-2021,United Kingdom,2021,FALSE,0.7536,0.5511,0.642,0.5511,0.7312,0.8519,1.165
ST,United States-2013,United States,2013,FALSE,1,1,0.3407,0.3297,0.3297,0.3407,1.0336
ST,United States-2014,United States,2014,FALSE,1,1,0.3122,0.2773,0.2773,0.3122,1.1255
ST,United States-2015,United States,2015,FALSE,0.9913,0.9913,0.2749,0.2651,0.2675,0.2774,1.037
ST,United States-2016,United States,2016,FALSE,0.8029,0.8029,0.2756,0.2756,0.3432,0.3432,1
ST,United States-2017,United States,2017,FALSE,0.7822,0.7822,0.3168,0.3168,0.405,0.405,1
ST,United States-2018,United States,2018,FALSE,0.7752,0.7752,0.3954,0.3954,0.51,0.51,1
ST,United States-2019,United States,2019,FALSE,0.752,0.752,0.4995,0.4995,0.6641,0.6641,1
ST,United States-2020,United States,2020,FALSE,0.7787,0.7787,0.5875,0.5875,0.7544,0.7544,1
ST,United States-2021,United States,2021,FALSE,0.6386,0.6386,0.6386,0.6386,1,1,1
C,Argentina-2013,Argentina,2013,FALSE,0.0691,0.0691,0.0397,0.0328,0.4751,0.5744,1.2092
C,Argentina-2016,Argentina,2016,FALSE,0.1189,0.0356,0.0367,0.0319,0.2682,0.3088,1.1513
C,Argentina-2017,Argentina,2017,FALSE,0.0486,0.0239,0.0331,0.0168,0.3457,0.6812,1.9707
C,Argentina-2018,Argentina,2018,FALSE,0.4661,0.2165,0.262,0.2119,0.4547,0.562,1.236
C,Argentina-2019,Argentina,2019,FALSE,0.5592,0.195,0.2759,0.1835,0.3282,0.4934,1.5031
C,Argentina-2020,Argentina,2020,FALSE,0.1297,0.0544,0.0795,0.0544,0.4192,0.613,1.4625
C,Argentina-2021,Argentina,2021,FALSE,1,0.0481,0.0724,0.0481,0.0481,0.0724,1.5041
C,Australia-2013,Australia,2013,FALSE,1,1,1,1,1,1,1
C,Australia-2015,Australia,2015,FALSE,0.4965,0.4051,0.207,0.1765,0.3554,0.4169,1.1728
C,Australia-2017,Australia,2017,FALSE,1,0.8905,0.9741,0.6717,0.6717,0.9741,1.4502
C,Australia-2019,Australia,2019,FALSE,0.3982,0.365,0.3411,0.3172,0.7966,0.8567,1.0754
