Year,n,efic_contemp_pct,efic_global_pct,tgr_medio,tgr_geometrico,tgr_uniao,gap_sequencial,tgr_n_igualado
2013,22,31.818,13.636,0.749,0.699,0.813,1,0.689
2014,23,34.783,4.348,0.608,0.573,0.68,0.806,0.535
2015,23,30.435,0,0.616,0.597,0.681,0.854,0.571
2016,26,26.923,3.846,0.728,0.707,0.821,0.854,0.647
2017,26,26.923,3.846,0.579,0.555,0.633,0.682,0.505
2018,30,33.333,10,0.699,0.671,0.754,0.789,0.613
2019,24,20.833,8.333,0.747,0.723,0.804,0.799,0.666
2020,18,33.333,16.667,0.76,0.732,0.819,0.79,0.74
2021,16,50,12.5,0.691,0.648,0.737,0.691,0.691
