Country_Year,Country,Year,income,regiao,zero_inv,pop_mi,manuf_pib,manuf_exp,fdh_S,ccr_S,bcc_S,fdh_T,ccr_T,bcc_T,fdh_ST,ccr_ST,bcc_ST,fdh_C,ccr_C,bcc_C,se_S,se_T,se_ST,bcc_S_int,bcc_T_int,bcc_C_int,bcc_S_semzeros,bcc_T_semzeros,bcc_C_semzeros,classe,topsis,sw_S,sw_T,sw_C
Poland-2017,Poland,2017,Alta,Europe and Central Asia,FALSE,37.9748,16.8859,79.7937,0.8495,0.2989,0.5985,0.0955,0.0206,0.0232,1,0.3009,0.5985,0.0955,0.0206,0.0232,0.4994,0.8884,0.5027,0.2656,0.024,0.024,0.5985,0.0233,0.0233,2,0.488,0.5334,0.0191,0.0188
Poland-2018,Poland,2018,Alta,Europe and Central Asia,FALSE,37.9748,16.4851,79.9652,1,0.2464,0.629,0.2073,0.054,0.0771,1,0.254,0.6316,0.2073,0.054,0.0771,0.3917,0.6996,0.4021,0.2549,0.0784,0.0784,0.638,0.0771,0.0771,2,0.488,0.5324,0.0634,0.0633
Poland-2019,Poland,2019,Alta,Europe and Central Asia,FALSE,37.9655,16.6615,79.9118,0.8622,0.2141,0.4397,0.1241,0.0167,0.0184,1,0.2164,0.4397,0.1241,0.0167,0.0184,0.4871,0.9076,0.4922,0.2115,0.019,0.019,0.4397,0.0184,0.0184,2,0.4878,0.382,0.015,0.0148
Poland-2020,Poland,2020,Alta,Europe and Central Asia,FALSE,37.8991,16.2084,79.639,0.9,0.2178,0.405,0.0756,0.008,0.0083,1,0.2185,0.405,0.0756,0.008,0.0083,0.5379,0.954,0.5396,0.2151,0.0086,0.0086,0.405,0.0084,0.0084,2,0.4878,0.3475,0.0067,0.0066
Poland-2021,Poland,2021,Alta,Europe and Central Asia,FALSE,36.9815,17.3006,79.4019,1,0.2343,0.5005,0.0561,0.007,0.0078,1,0.2343,0.5005,0.0561,0.007,0.0078,0.4681,0.8937,0.4681,0.2679,0.008,0.008,0.5005,0.0078,0.0078,2,0.4882,0.4317,0.0063,0.0063
Portugal-2014,Portugal,2014,Alta,Europe and Central Asia,FALSE,10.4011,11.8415,74.3001,0.8793,0.3376,0.6108,0.0478,0.0076,0.0099,0.8793,0.3376,0.6108,0.0478,0.0076,0.0099,0.5528,0.7699,0.5528,0.4399,0.0118,0.0118,0.6173,0.0109,0.0109,2,0.4874,0.5464,0.0081,0.0081
Portugal-2015,Portugal,2015,Alta,Europe and Central Asia,FALSE,10.3581,12.2514,74.9535,1,0.4173,0.6602,0.2388,0.0241,0.0266,1,0.4188,0.6602,0.2388,0.0241,0.0266,0.6321,0.9066,0.6343,0.4956,0.0296,0.0296,0.6602,0.0286,0.0286,2,0.4876,0.5947,0.0219,0.0216
Portugal-2016,Portugal,2016,Alta,Europe and Central Asia,FALSE,10.3255,12.2435,76.4452,0.9331,0.3464,0.6002,0.4772,0.0611,0.0737,1,0.3536,0.6009,0.4772,0.0611,0.0737,0.5772,0.829,0.5884,0.4552,0.085,0.085,0.6002,0.0799,0.0799,2,0.4875,0.54,0.0611,0.0607
Portugal-2017,Portugal,2017,Alta,Europe and Central Asia,FALSE,10.3003,12.4309,75.7133,0.9323,0.3479,0.4434,0.2861,0.0099,0.0108,0.9598,0.3502,0.4454,0.2861,0.0099,0.0108,0.7845,0.9091,0.7863,0.3741,0.0178,0.0178,0.4434,0.0109,0.0109,2,0.4872,0.3974,0.0084,0.008
Portugal-2018,Portugal,2018,Alta,Europe and Central Asia,FALSE,10.2838,12.3221,76.0282,0.8477,0.3562,0.4603,0.5239,0.0172,0.0188,1,0.3628,0.4669,0.5239,0.0172,0.0188,0.7737,0.9169,0.7771,0.4073,0.0324,0.0324,0.4603,0.0189,0.0189,2,0.4874,0.4081,0.0144,0.0139
