Country_Year,Country,Year,income,regiao,zero_inv,pop_mi,manuf_pib,manuf_exp,fdh_S,ccr_S,bcc_S,fdh_T,ccr_T,bcc_T,fdh_ST,ccr_ST,bcc_ST,fdh_C,ccr_C,bcc_C,se_S,se_T,se_ST,bcc_S_int,bcc_T_int,bcc_C_int,bcc_S_semzeros,bcc_T_semzeros,bcc_C_semzeros,classe,topsis,sw_S,sw_T,sw_C
United Kingdom-2014,United Kingdom,2014,Alta,Europe and Central Asia,FALSE,64.6022,9.4408,68.2496,0.4014,0.0745,0.3175,0.1241,0.0097,0.0107,0.6,0.077,0.3175,0.1241,0.0115,0.0117,0.2348,0.9057,0.2426,0.3022,0.0194,0.0194,0.3175,0.0107,0.0118,1,0.486,0.2655,0.0085,0.009
United Kingdom-2021,United Kingdom,2021,Alta,Europe and Central Asia,FALSE,67.0264,8.7328,62.2455,1,0.1439,0.5511,0.7512,0.0215,0.0215,1,0.1585,0.5511,0.7512,0.0261,0.0263,0.2611,0.9978,0.2877,0.6992,0.1051,0.1051,0.5511,0.0215,0.0263,1,0.487,0.4601,0.0154,0.0197
United States-2013,United States,2013,Alta,North America,FALSE,316.0605,11.7719,61.1842,0.3407,0.0334,0.3297,0.0508,0.0372,0.0404,0.3407,0.0532,0.3297,0.5168,0.1123,0.1128,0.1014,0.9208,0.1614,0.1962,0.1163,0.1163,0.3297,0.0404,0.1129,1,0.4589,0.2805,0.0296,0.091
United States-2014,United States,2014,Alta,North America,FALSE,318.3855,11.6174,61.422,0.3122,0.0337,0.2773,0.0413,0.0298,0.0371,0.3122,0.054,0.2773,0.6332,0.1322,0.1328,0.1216,0.8047,0.1947,0.1965,0.1414,0.1414,0.2773,0.0371,0.1329,1,0.4478,0.2251,0.0261,0.1092
United States-2015,United States,2015,Alta,North America,FALSE,320.8263,11.6056,63.7147,0.3393,0.0347,0.2651,0.0591,0.0382,0.0472,0.3393,0.0625,0.2651,0.9074,0.1743,0.175,0.1309,0.8092,0.2356,0.2071,0.2012,0.2012,0.2651,0.0472,0.1751,1,0.439,0.2084,0.033,0.1448
United States-2016,United States,2016,Alta,North America,FALSE,323.072,11.1581,63.2605,0.2756,0.0359,0.2756,0.0715,0.0559,0.0715,0.2756,0.0779,0.2756,1,0.2533,0.2541,0.1301,0.7817,0.2825,0.2191,0.3125,0.3125,0.2756,0.0715,0.2543,1,0.4376,0.2151,0.05,0.2104
United States-2017,United States,2017,Alta,North America,FALSE,325.1223,11.1815,61.3709,0.3168,0.0395,0.3168,0.1139,0.0846,0.1139,0.3168,0.104,0.3168,1,0.3512,0.3522,0.1248,0.7422,0.3285,0.2487,0.495,0.495,0.3168,0.1139,0.3523,1,0.4448,0.2475,0.0798,0.2897
United States-2018,United States,2018,Alta,North America,FALSE,326.8387,11.2802,58.9112,0.3954,0.0462,0.3954,0.1529,0.0997,0.1529,0.3954,0.1274,0.3954,1,0.3776,0.3783,0.1169,0.6519,0.3223,0.2854,0.6607,0.6607,0.3954,0.1529,0.3784,1,0.4028,0.312,0.1079,0.309
United States-2019,United States,2019,Alta,North America,FALSE,328.3293,10.9764,59.1142,0.4995,0.0541,0.4995,0.1594,0.0961,0.1594,0.4995,0.1322,0.4995,0.9215,0.3115,0.3119,0.1082,0.6033,0.2647,0.3101,0.6856,0.6856,0.4995,0.1594,0.3119,1,0.2765,0.3964,0.113,0.2485
United States-2020,United States,2020,Alta,North America,FALSE,331.5273,10.4725,60.1798,0.5875,0.0594,0.5875,0.1463,0.0825,0.1463,0.5875,0.1262,0.5875,0.454,0.2432,0.2433,0.1011,0.5638,0.2148,0.3896,0.6234,0.6234,0.5875,0.1463,0.2433,1,0.3592,0.4658,0.1035,0.1873
United States-2021,United States,2021,Alta,North America,FALSE,332.0497,10.525,57.5274,0.6386,0.0611,0.6386,0.0821,0.0438,0.0821,0.6386,0.0959,0.6386,0.2547,0.1255,0.1255,0.0957,0.5332,0.1502,0.3662,0.3491,0.3491,0.6386,0.0821,0.1255,1,0.2257,0.5086,0.0584,0.0954
