Country_Year,Country,Year,zero_inv,pop_mi,v2_bcc_S,v2_bcc_T,v2_bcc_ST,v2_ccr_S,v2_ccr_T,v2_gap,intensiva_S,intensiva_T,extensiva_S,extensiva_T,conversao_ext,conversao_pc,agrupada_S,agrupada_T,super_crs_T,super_crs_ST
Mexico-2016,Mexico,2016,FALSE,122.251,0.6604,0.8299,0.8486,0.5167,0.3743,0.1695,0.2284,1,0.5394,1,1,1,0.3404,0.0929,0.3743,0.8462
Mexico-2017,Mexico,2017,FALSE,123.4,1,0.6652,1,1,0.1926,-0.3348,0.2992,1,0.6852,0.7192,0.7192,1,0.2552,0.0765,0.1926,1.1271
Mexico-2018,Mexico,2018,FALSE,124.574,1,0.2721,1,1,0.1821,-0.7279,0.3532,1,0.9165,1,1,1,0.5543,0.1862,0.1821,1.7627
Mexico-2019,Mexico,2019,FALSE,125.763,0.5589,0.402,0.6851,0.5253,0.2122,-0.1569,0.2707,0.4054,0.4548,0.2346,0.2346,0.4243,0.3437,0.0676,0.2122,0.5536
Mexico-2020,Mexico,2020,FALSE,126.799,1,0.3815,1,1,0.3473,-0.6185,0.3904,0.4513,0.7231,0.415,0.415,0.4513,0.4413,0.0912,0.3473,1.6061
Mexico-2021,Mexico,2021,FALSE,127.648,1,0.0066,1,1,0.0039,-0.9934,0.4056,0.0164,0.8496,0.0114,0.0114,0.0178,0.3967,0.0051,0.0039,1.2541
Netherlands-2013,Netherlands,2013,FALSE,16.804,0.3983,0.0307,0.3983,0.3976,0.0301,-0.3676,0.8018,0.0338,0.5778,0.0127,0.0168,0.0369,0.398,0.0071,0.0301,0.3976
Netherlands-2014,Netherlands,2014,FALSE,16.865,0.458,0.0279,0.458,0.3846,0.0271,-0.4301,0.9462,0.0213,0.5747,0.0104,0.0104,0.0213,0.2326,0.003,0.0271,0.3846
Netherlands-2015,Netherlands,2015,FALSE,16.94,0.2338,0.0506,0.2341,0.19,0.049,-0.1832,0.6547,0.0418,0.3573,0.0172,0.0213,0.0421,0.0639,0.005,0.049,0.19
Netherlands-2016,Netherlands,2016,FALSE,17.03,0.1745,0.037,0.1872,0.0821,0.0362,-0.1375,0.3779,0.0286,0.1949,0.0112,0.012,0.0286,0.0675,0.0059,0.0362,0.0977
Netherlands-2017,Netherlands,2017,FALSE,17.131,0.2994,0.0145,0.2994,0.2323,0.0127,-0.2849,0.3902,0.0154,0.4468,0.0052,0.0063,0.0155,0.0693,0.0049,0.0127,0.2323
Norway-2013,Norway,2013,FALSE,5.08,0.1771,0.0753,0.1771,0.1528,0.0693,-0.1017,0.8508,0.0727,0.2801,0.0167,0.0326,0.0763,0.1661,0.0189,0.0693,0.1528
Norway-2014,Norway,2014,FALSE,5.137,0.1137,0.1143,0.1628,0.1008,0.1128,6e-4,0.5168,0.0973,0.2293,0.0224,0.0383,0.1081,0.0439,0.0172,0.1128,0.1613
Norway-2016,Norway,2016,FALSE,5.235,0.2829,0.1482,0.3859,0.1937,0.1011,-0.1347,0.4631,0.0928,0.2915,0.0426,0.0697,0.1052,0.1173,0.0331,0.1011,0.255
Norway-2017,Norway,2017,FALSE,5.277,0.1818,0.0275,0.1818,0.1486,0.0256,-0.1543,0.457,0.0237,0.2686,0.0059,0.0088,0.0237,0.0301,0.012,0.0256,0.1486
Norway-2018,Norway,2018,FALSE,5.312,0.3406,0.0712,0.3775,0.1486,0.0431,-0.2694,0.6429,0.0549,0.3517,0.0219,0.025,0.0554,0.0611,0.0452,0.0431,0.1628
Norway-2019,Norway,2019,FALSE,5.348,0.2017,0.042,0.2017,0.1341,0.032,-0.1597,0.6245,0.0318,0.2149,0.0044,0.0073,0.0318,0.0385,0.0171,0.032,0.1434
Peru-2018,Peru,2018,TRUE,31.898,1,1,1,0.3213,0.0556,0,1,1,1,1,1,1,1,1,0.0556,0.3213
Peru-2019,Peru,2019,FALSE,32.449,1,1,1,0.4761,0.0431,0,1,1,1,1,1,1,0.4114,0.1252,0.0431,0.4859
Peru-2020,Peru,2020,FALSE,32.839,1,1,1,0.5051,0.6109,0,1,1,1,1,1,1,0.313,0.2692,0.6109,0.7259
Peru-2021,Peru,2021,FALSE,33.156,1,1,1,1,0.0146,0,1,1,1,1,1,1,0.8829,0.0631,0.0146,1.338
Philippines-2018,Philippines,2018,FALSE,109.465,0.404,0.0064,0.404,0.3545,0.0044,-0.3976,0.1105,0.0356,0.3385,0.0704,0.0821,1,0.2433,0.0052,0.0044,0.3545
Poland-2013,Poland,2013,FALSE,38.04,0.8612,0.1206,0.8612,0.5283,0.0836,-0.7407,0.7665,0.1223,1,0.1418,0.1418,0.1441,0.7176,0.0223,0.0836,0.5283
Poland-2014,Poland,2014,FALSE,38.012,0.7015,0.1964,0.7377,0.6543,0.1836,-0.505,0.7734,0.229,0.7954,0.1883,0.1883,0.229,0.4438,0.0156,0.1836,0.7035
Poland-2015,Poland,2015,FALSE,37.986,0.6062,0.2173,0.6223,0.59,0.179,-0.3889,0.5301,0.2317,0.847,0.2235,0.2235,0.2317,0.1749,0.0244,0.179,0.6109
Poland-2016,Poland,2016,FALSE,37.97,0.9283,0.1329,0.9535,0.6011,0.119,-0.7954,0.3089,0.145,0.9256,0.1905,0.1905,0.2127,0.3631,0.0238,0.119,0.6372
Poland-2017,Poland,2017,FALSE,37.975,0.8715,0.0386,0.8715,0.8358,0.0342,-0.8328,0.2589,0.0457,1,0.0544,0.0544,0.0471,0.1657,0.0118,0.0342,0.8358
Poland-2018,Poland,2018,FALSE,37.975,1,0.0327,1,0.638,0.0321,-0.9673,0.4765,0.1321,1,0.114,0.114,0.1353,0.2896,0.0254,0.0321,0.638
Poland-2019,Poland,2019,FALSE,37.965,0.7597,0.0194,0.7597,0.4956,0.0188,-0.7403,0.3611,0.0231,0.7775,0.0232,0.0232,0.0231,0.1133,0.0112,0.0188,0.4956
Poland-2020,Poland,2020,FALSE,37.899,0.6472,0.0296,0.6472,0.366,0.029,-0.6175,0.4191,0.0087,0.6472,0.0087,0.0087,0.0087,0.1112,0.0057,0.029,0.366
Poland-2021,Poland,2021,FALSE,36.982,1,0.0069,1,0.6399,0.0065,-0.9931,0.5126,0.0136,1,0.0136,0.0136,0.0136,0.1293,0.0049,0.0065,0.6399
