modelo,DMU,cols,sfa,bcc
S,United Kingdom-2021,0.3542,2.0881,0.5511
S,United States-2013,0.1646,1.4678,0.3297
S,United States-2014,0.1586,1.4522,0.2773
S,United States-2015,0.1616,1.4613,0.2651
S,United States-2016,0.1673,1.4783,0.2756
S,United States-2017,0.1863,1.5341,0.3168
S,United States-2018,0.2085,1.6041,0.3954
S,United States-2019,0.2329,1.6839,0.4995
S,United States-2020,0.2734,1.812,0.5875
S,United States-2021,0.2676,1.7969,0.6386
T,Argentina-2013,0.0041,0.5205,0.0257
T,Argentina-2016,0.0046,0.5274,0.0267
T,Argentina-2017,0.0038,0.5165,0.0135
T,Argentina-2018,0.037,0.6299,0.1956
T,Argentina-2019,0.0394,0.6326,0.1515
T,Argentina-2020,0.0371,0.63,0.0523
T,Argentina-2021,0.0225,0.6076,0.0448
T,Australia-2013,0.0421,0.6354,1
T,Australia-2015,0.0438,0.6369,0.167
T,Australia-2017,0.1062,0.6721,0.6329
T,Australia-2019,0.1623,0.6873,0.3172
T,Austria-2013,0.0049,0.5309,0.052
T,Austria-2014,0.0022,0.4846,0.0173
T,Austria-2015,0.0037,0.515,0.0473
T,Austria-2016,0.0106,0.5712,0.0989
T,Austria-2017,0.0102,0.5695,0.06
T,Austria-2018,0.0091,0.5632,0.0264
T,Austria-2019,0.0041,0.5206,0.0083
T,Austria-2020,0.0102,0.5691,0.0153
T,Austria-2021,0.0083,0.5584,0.0084
T,Belgium-2013,0.0012,0.4486,0.0079
T,Belgium-2016,0.0015,0.4651,0.0035
T,Belgium-2017,0.0012,0.4499,0.001
T,Belgium-2018,0.0057,0.5384,0.0203
T,Brazil-2013,0.0251,0.6126,0.4817
T,Brazil-2014,0.0151,0.5887,0.115
T,Brazil-2015,0.0199,0.6017,0.0535
T,Brazil-2016,0.0404,0.6335,0.3637
T,Brazil-2017,0.0361,0.6287,0.0882
T,Brazil-2018,0.0565,0.6475,0.1019
T,Brazil-2019,0.0486,0.6412,0.0535
T,Brazil-2020,0.0497,0.6421,0.0374
