DMU,super_VRS,super_CRS
France-2015,0.386,0.086
Belgium-2018,0.285,0.083
Austria-2018,0.234,0.081
Brazil-2015,0.25,0.081
Israel-2019,0.117,0.08
Argentina-2016,0.146,0.08
France-2014,0.277,0.079
United States-2016,0.276,0.078
United Kingdom-2014,0.317,0.077
Norway-2013,0.202,0.074
Argentina-2017,0.146,0.074
Belgium-2016,0.189,0.072
Austria-2014,0.277,0.072
Belgium-2017,0.127,0.071
Israel-2018,0.097,0.067
Norway-2016,0.202,0.067
Norway-2017,0.135,0.065
United States-2015,0.265,0.062
Norway-2014,0.136,0.061
Argentina-2013,0.115,0.061
Israel-2017,0.093,0.06
Switzerland-2015,0.098,0.057
Israel-2015,0.087,0.056
United States-2014,0.277,0.054
United States-2013,0.33,0.053
Israel-2016,0.085,0.053
Israel-2014,0.11,0.053
Israel-2013,0.094,0.049
