name,n,min,q25,mediana,media,q75,max
GDP.per.capita,208,1399.453798,9736.0471485,17695.238319999997,27876.648961918272,42476.666047499995,110425.8884
Trade_Percentage,208,23.07977787,43.2636599175,66.39989665,92.36674412322115,104.150422175,393.1411982
Z_Score,208,3.860387,9.457967,16.223300000000002,17.676429057692307,21.23536,57.44071
gov,208,-1.880832388946044,-0.8644782717539072,0.01942130666123816,2.369899148719084e-16,0.8863900081756755,1.7756150642919164
inv_const,208,0,5951837.985787912,64612111.74505582,2802174645.1567283,397340469.84676224,133362966507.19963
manuf_exp,208,8.86740099091368,46.12896923187437,71.0175611072851,63.300351330625716,81.57662254359805,94.7021611818398
manuf_pib,205,4.64520710910134,10.6967320991298,12.5127045016941,14.39820492631046,18.0893298548734,32.7799541366431
pat,208,0.9903068432402821,3.000715820870018,9.999999675310837,1673.2091248012841,68.17404220996745,84610.79032951879
pubs,208,119,503.75,1201,4882.75,3213.5,77180
rd_usd,208,266729825.19085002,2236622552.022015,6639127989.35089,52101612840.682526,19804614215.47779,723142279730.215
voice,208,28.6055622,61.318586599999996,67.05020715,68.58319835865385,77.9011526,91.1071674
