Country_Year,Country,GeogLoc,IncomeLevel,Year,Domestic_Credit,Corruption_Estimate,Government_Effectiveness,High_Tech_Export_Percentage,MarketCap,Non.performing.Loans,PatentNonResidents,PatentResidents,R.D_Percentage,Trade_Percentage,GDP.per.capita,GDP.constant,Z_Score,AI.Patent.Applications,AI.Publications,AI.Investment,Total_Patents,Patents_per_GDP,AI_Investment_per_GDP,log_Patents_per_GDP,log_RD_Percentage,log_High_Tech_Export,log_GDP_per_Capita,log_Trade_Percentage,log_Credit_Private_Sector,log_AI_Investment_per_GDP,log_AI_Publications,log_Non.performing.Loans,income,regiao,pop_mi,zero_inv,defl15,manuf_pib,ind_pib,manuf_exp,pesq_pm,rd_pct_wdi,artigos_se_nsf,manuf_pib_na,pesq_pm_na,inv_const,inv_usd,rd_usd,pubs,pat,inv_pc,rd_pct,pubs_pm,pat_pm,gov,ln_gdppc,tend,iso3,voice,oa_total,oa_ai,stem_share,social_share,ai_share_oa,ai_share_pre
Argentina-2013,Argentina,Latin_America_and_the_caribbean,Upper-middle_income_economy,2013,15.56545554,-0.434306711,-0.254236966,7.458207449,9.619994839,1.53372871,4129,643,0.618489981,29.333929,13946.09508,593859000000,7.65534,0.02348385,181,1163174,4772,8.04e-9,1.96e-6,8.04e-9,0.481493604,2.135137266,9.543026528,3.412266855,2.807319535,1.96e-6,5.204006687,0.929692016,Média-alta,Latin America and the caribbean,42.58245742578144,FALSE,0.9738442590445088,15.0110542553443,24.0058814423072,31.6131741589715,1193.37333,0.61849,7700.03,FALSE,FALSE,1194414.8042123828,1694414.8042123828,3672958416.26679,181,1.0000000428184375,0.03979138139609818,0.618489981,4.250576667996948,0.02348385,-1.2170263464217008,9.542954825483228,0,ARG,61.1890008,19237,302,0.4828715496179238,0.34776732338722255,0.01569891355200915,0.01723643024098197
Argentina-2016,Argentina,Latin_America_and_the_caribbean,Upper-middle_income_economy,2016,13.49652679,-0.299235553,0.218796372,8.98239948,11.40761061,1.700277506,2925,884,0.558149993,26.09388785,13265.88606,582377000000,7.426713,0.022778882,215,1129007,3809,6.54e-9,1.94e-6,6.54e-9,0.443499216,2.30082349,9.49302644,3.299308162,2.673909089,1.94e-6,5.375278408,0.993354548,Média-alta,Latin America and the caribbean,43.90034690227092,FALSE,1.0095032247490163,13.4880259708051,22.0541072112108,25.6479861222021,1254.06674,0.55815,8320.39,FALSE,FALSE,1118378.7949569896,1618378.7949569896,3250537184.73361,215,1.000000821845895,0.03686482930441883,0.558149993,4.897455605046216,0.022778882,-0.8365285330474213,9.492951061174804,3,ARG,64.7174938,22784,300,0.44224016853932585,0.3883865870786517,0.013167134831460673,0.01723643024098197
Argentina-2017,Argentina,Latin_America_and_the_caribbean,Upper-middle_income_economy,2017,15.72126916,-0.309002459,0.135085613,9.20544177,16.89484975,1.734799284,3050,393,0.556309998,25.28960114,13520.11298,598791000000,7.50613,0.022579022,233,5527297,3443,5.75e-9,9.23e-6,5.75e-9,0.442317633,2.322921085,9.512007668,3.269173467,2.816681512,9.23e-6,5.455321115,1.006058045,Média-alta,Latin America and the caribbean,44.288905047300865,FALSE,1.0275814416785491,12.8351683415363,21.782123219335,27.6743405207163,1206.01905,0.55632,8535.98,FALSE,FALSE,5378938.131629925,5878938.131629925,3331134200.1241803,233,1.0000001614189173,0.13274065198385865,0.556309998,5.260911276789398,0.022579022,-0.8963138304604605,9.511933706070915,4,ARG,67.0355392,23707,293,0.4336271987176783,0.38347323575315306,0.012359218796136162,0.01723643024098197
Argentina-2018,Argentina,Latin_America_and_the_caribbean,Upper-middle_income_economy,2018,15.37632656,-0.099273928,0.028060619,5.402984101,8.762253617,2.957785514,3242,425,0.488299996,30.76253595,13058.32854,583118000000,7.21939,0.1567578,271,1079101,3667,6.29e-9,1.85e-6,6.29e-9,0.397634526,1.856764148,9.477257988,3.458287481,2.795836789,1.85e-6,5.605802066,1.375684655,Média-alta,Latin America and the caribbean,44.65487280503052,FALSE,1.0511222050355473,14.0601434041581,23.7195923321304,19.4577177222696,1220.93622,0.4883,9044.42,FALSE,FALSE,1026618.0229381669,1526618.0229381667,2847365170.67528,271,6.999999620196413,0.034187042242928255,0.488299996,6.068766586419902,0.1567578,-0.8540684489032626,9.477181411485208,5,ARG,67.8718554,25959,313,0.43503216610809353,0.3855695519858238,0.012057475249431796,0.01723643024098197
Argentina-2019,Argentina,Latin_America_and_the_caribbean,Upper-middle_income_economy,2019,12.77894825,-0.107116245,-0.120795332,5.212790589,8.798018523,5.702914714,3260,442,0.478130013,32.63061505,12706.39781,571451000000,9.317062,0.17788266,222,3179682,3702,6.48e-9,5.56e-6,6.48e-9,0.390777784,1.826610165,9.449939608,3.515436814,2.623141938,5.56e-6,5.407171771,1.902542464,Média-alta,Latin America and the caribbean,44.9734856837447,FALSE,1.0684706161668376,13.5408390702829,23.1578477391434,16.55456541936,1224.69939,0.47813,9080.32,FALSE,FALSE,2975918.992893956,3475918.992893956,2732278740.58863,222,8.000003262896426,0.07728818302714523,0.478130013,4.936241801694283,0.17788266,-0.9552923899742891,9.44986091016684,6,ARG,67.315243,25953,336,0.4259237853042038,0.3952144260779101,0.01294648017570223,0.01723643024098197
Argentina-2020,Argentina,Latin_America_and_the_caribbean,Upper-middle_income_economy,2020,13.4554773,-0.163570061,-0.254261822,6.903889256,8.360651602,4.150064003,2562,930,0.541540027,30.20369881,11393.0506,514874000000,9.249464,0.2212783,324,26174463,3492,6.78e-9,5.08e-5,6.78e-9,0.432781934,2.067354949,9.340846621,3.440536639,2.671073395,5.08e-5,5.783825182,1.639009142,Média-alta,Latin America and the caribbean,45.19193480980414,FALSE,1.0828387224959974,14.5905295089183,22.4088763711802,14.4214496007227,1250.48347,0.54126,9992.12,FALSE,FALSE,24172078.866616953,24672078.866616953,2788248798.61598,324,9.999994508424283,0.5459398667141041,0.541540027,7.169420857141748,0.2212783,-1.0724468696670282,9.340758852011874,7,ARG,67.1810707,30113,382,0.41032112376714375,0.39401587354298806,0.012685551090890977,0.01723643024098197
Argentina-2021,Argentina,Latin_America_and_the_caribbean,Upper-middle_income_economy,2021,11.27270763,-0.422596842,-0.390557259,4.422891393,8.580816227,4.292112906,3263,406,0.517639995,33.07868957,12549.28117,568637000000,9.083421,0.13241443,315,17000000,3669,6.45e-9,2.99e-5,6.45e-9,0.417156493,1.69062914,9.437498348,3.52867225,2.507377905,2.99e-5,5.755742214,1.666217581,Média-alta,Latin America and the caribbean,45.312316482267484,FALSE,1.1322483591563497,15.558416982668,23.4994644263761,13.5315510577839,1288.13477,0.5236,9943.87,FALSE,FALSE,15014373.712731084,15514373.712731084,2943492538.36815,315,6.000004558979054,0.34238756517342206,0.517639995,6.951752292851151,0.13241443,-1.299636124946793,9.437418665628687,8,ARG,66.012587,28548,364,0.4034608378870674,0.3841600112091915,0.012750455373406194,0.01723643024098197
Australia-2013,Australia,East_Asia_and_Pacific,High-Income_Economy,2013,124.7040749,1.777833104,1.632453084,18.00751438,86.61073643,1.365174882,26656,3061,2.17843008,41.27287902,55728.0174,1288880000000,13.73787,3.3137848,2266,1163174,29717,2.31e-8,9.02e-7,2.31e-8,1.156387389,2.944834395,10.92825625,3.744145722,4.833930533,9.02e-7,7.726212651,0.860851965,Alta,East Asia and Pacific,23.128043309863024,FALSE,0.9738442590445088,6.47475769538219,25.1836151421438,11.7663621499698,NA,2.17733,50403.4,FALSE,TRUE,1194414.8042123828,1694414.8042123828,28077349615.104,2266,76.64135837396579,0.07326235001859385,2.17843008,97.9762952551052,3.3137848,1.1943249820527908,10.928238304836569,0,AUS,83.8598855,81759,2060,0.46761824386306095,0.222287454592155,0.02519600288653237,0.025705629385731545
Australia-2015,Australia,East_Asia_and_Pacific,High-Income_Economy,2015,136.3539739,1.841308117,1.533252478,19.69214725,87.84774934,0.888725499,26314,2291,1.920709968,41.66393193,56739.02653,1351300000000,13.33152,5.3031573,2607,92603272,28605,2.12e-8,6.85e-5,2.12e-8,1.071826726,3.029754269,10.94623518,3.753353878,4.922561344,6.85e-5,7.866338923,0.635902262,Alta,East Asia and Pacific,23.816058939353113,FALSE,1,6.16187153809786,23.6861098353126,13.7678544559038,NA,1.91969,53536.9,FALSE,TRUE,92603272,93103272,25954553797.584,2607,126.30030682146071,3.9092644268761982,1.920709968,109.463954831429,5.3031573,1.1635594579444875,10.946217551536074,2,AUS,84.0576374,91362,2371,0.4709069416168648,0.21812131958582343,0.0259517085878155,0.025705629385731545
Australia-2017,Australia,East_Asia_and_Pacific,High-Income_Economy,2017,140.6690876,1.752974749,1.498386025,18.09679246,113.7962081,0.85701375,26403,2503,1.879770041,42.20373168,57750.64822,1420240000000,13.63942,11.645283,2990,46429296,28906,2.04e-8,3.27e-5,2.04e-8,1.057710444,2.949520387,10.96390717,3.765926873,4.953493969,3.27e-5,8.003363059,0.618969687,Alta,East Asia and Pacific,24.592624390805494,FALSE,1.0275814416785491,5.6370711506194,23.4479311698975,11.7510093112444,NA,1.88102,54671.54,FALSE,TRUE,45183081.47348202,45683081.47348202,26697246030.2984,2990,286.38807074363257,1.8575927785308537,1.879770041,121.58116809680055,11.645283,1.0936535859799756,10.963889852909789,4,AUS,85.2240873,96726,2510,0.47027686454521017,0.21564005541426298,0.025949589562268678,0.025705629385731545
